model_id,model_type,activation_function,optimizer,criterion,learning_rate,beta1,beta2,num_epochs,time_minutes
1,FullyConnectedNet,Tanh,Adam,MSELoss,0.0006,0.9,0.999,1500,0.33
2,FullyConnectedNet,Tanh,Adam,MSELoss,0.0002,0.9,0.999,1500,0.32
3,FullyConnectedNet,Tanh,Adam,MSELoss,0.0001,0.9,0.999,1500,0.29
4,FullyConnectedNet,Tanh,Adam,CrossEntropyLoss,0.006,0.9,0.999,300,0.22
5,FullyConnectedNet,Tanh,Adam,CrossEntropyLoss,0.002,0.9,0.999,300,0.21
6,FullyConnectedNet,Tanh,Adam,CrossEntropyLoss,0.001,0.9,0.999,300,0.23
7,FullyConnectedNet,Tanh,Adam,MSELoss,0.0006,0.9,0.999,1500,0.34
8,FullyConnectedNet,Tanh,Adam,MSELoss,0.0002,0.9,0.999,1500,0.31
9,FullyConnectedNet,Tanh,Adam,MSELoss,0.0001,0.9,0.999,1500,0.29
10,FullyConnectedNet,Tanh,Adam,CrossEntropyLoss,0.006,0.9,0.999,300,0.22
11,FullyConnectedNet,Tanh,Adam,CrossEntropyLoss,0.002,0.9,0.999,300,0.21
12,FullyConnectedNet,Tanh,Adam,CrossEntropyLoss,0.001,0.9,0.999,300,0.22
