model_id,model_type,activation_function,optimizer,criterion,learning_rate,beta1,beta2,num_epochs,time_minutes
1,FullyConnectedNet,Tanh,Adam,MSELoss,0.001,0.9,0.999,20000,0.57
2,FullyConnectedNet,Tanh,Adam,MSELoss,0.003,0.9,0.999,20000,1.31
3,FullyConnectedNet,Tanh,Adam,MSELoss,0.001,0.9,0.999,20000,0.59
4,FullyConnectedNet,Tanh,Adam,MSELoss,0.001,0.9,0.999,20000,0.7
5,FullyConnectedNet,Tanh,Adam,MSELoss,0.003,0.9,0.999,20000,1.65
6,FullyConnectedNet,Tanh,Adam,MSELoss,0.001,0.9,0.999,1000,1.17
7,FullyConnectedNet,Tanh,Adam,MSELoss,0.003,0.9,0.999,1000,1.38
8,FullyConnectedNet,Tanh,Adam,MSELoss,0.01,0.9,0.999,1000,1.4
9,FullyConnectedNet,Tanh,Adam,MSELoss,0.03,0.9,0.999,1000,5.13
10,FullyConnectedNet,Tanh,Adam,MSELoss,0.1,0.9,0.999,1000,1.03
11,FullyConnectedNet,Tanh,Adam,MSELoss,0.003,0.9,0.999,4000,4.52
12,FullyConnectedNet,Tanh,Adam,MSELoss,0.001,0.9,0.999,4000,4.32
13,FullyConnectedNet,Tanh,Adam,MSELoss,0.0003,0.9,0.999,4000,5.39
14,FullyConnectedNet,Tanh,Adam,MSELoss,0.0001,0.9,0.999,4000,5.08
15,FullyConnectedNet,Tanh,Adam,MSELoss,3e-05,0.9,0.999,4000,4.35
16,FullyConnectedNet,Tanh,Adam,MSELoss,0.003,0.9,0.999,4000,6.92
17,FullyConnectedNet,Tanh,Adam,MSELoss,0.001,0.9,0.999,4000,5.24
18,FullyConnectedNet,Tanh,Adam,MSELoss,0.0003,0.9,0.999,4000,4.29
19,FullyConnectedNet,Tanh,Adam,MSELoss,0.0001,0.9,0.999,4000,4.54
20,FullyConnectedNet,Tanh,Adam,MSELoss,3e-05,0.9,0.999,4000,6.4
