step,train_loss,train_acc,test_acc,lambda_H,lambda_A,grad_norm
0,2.254213333129883,0.17338000237941742,0.17019999027252197,19.16686248779297,1481507.25,1.6242934465408325
1,2.1782209873199463,0.21821999549865723,0.21239998936653137,,,1.2289243936538696
2,2.1209821701049805,0.2455199956893921,0.23929999768733978,,,0.8999358415603638
3,2.076634168624878,0.2694000005722046,0.2629999816417694,,,0.72812819480896
4,2.0405402183532715,0.28693997859954834,0.28119999170303345,,,0.6288326382637024
5,2.010018825531006,0.299919992685318,0.2937999963760376,12.671868324279785,236427.046875,0.5592260360717773
6,1.983609676361084,0.30991998314857483,0.3035999834537506,,,0.5038945078849792
7,1.960398554801941,0.31873998045921326,0.3130999803543091,,,0.45938587188720703
8,1.9396915435791016,0.3257800042629242,0.3247999846935272,,,0.42512965202331543
9,1.9210472106933594,0.33489999175071716,0.3319999873638153,,,0.39773401618003845
10,1.9043341875076294,0.3413800001144409,0.336899995803833,13.7774658203125,184147.21875,0.37137019634246826
11,1.8896268606185913,0.34610000252723694,0.3409000039100647,,,0.34331005811691284
12,1.8769797086715698,0.35095998644828796,0.34450000524520874,,,0.3160281479358673
13,1.8662440776824951,0.3558200001716614,0.35019999742507935,,,0.29353639483451843
14,1.8570189476013184,0.358599990606308,0.35349997878074646,,,0.27781355381011963
15,1.84868323802948,0.3629799783229828,0.35659998655319214,15.381246566772461,189145.09375,0.27034956216812134
16,1.8405286073684692,0.3658599853515625,0.3595999777317047,,,0.27133622765541077
17,1.832059383392334,0.3688199818134308,0.36329999566078186,,,0.27446800470352173
18,1.8232684135437012,0.3725999891757965,0.3669999837875366,,,0.2702135741710663
19,1.8145626783370972,0.37577998638153076,0.37059998512268066,,,0.2554212808609009
20,1.8063746690750122,0.3789199888706207,0.3755999803543091,17.506980895996094,208590.6875,0.236318439245224
21,1.7988481521606445,0.382099986076355,0.37950000166893005,,,0.22209006547927856
22,1.7918592691421509,0.38425999879837036,0.3805999755859375,,,0.21525076031684875
23,1.785240888595581,0.38830000162124634,0.3831999897956848,,,0.21102473139762878
24,1.7789192199707031,0.3908199965953827,0.38670000433921814,,,0.20570291578769684
25,1.7728615999221802,0.3939799964427948,0.3887999951839447,18.9312686920166,219491.484375,0.2005728781223297
26,1.7669942378997803,0.39757999777793884,0.3911999762058258,,,0.197879821062088
27,1.7612254619598389,0.399619996547699,0.39309999346733093,,,0.19679857790470123
28,1.7555078268051147,0.4006199836730957,0.39389997720718384,,,0.1954907327890396
29,1.7498451471328735,0.40331998467445374,0.3974999785423279,,,0.19321918487548828
30,1.7442994117736816,0.4046799838542938,0.399399995803833,20.355514526367188,234035.21875,0.18887098133563995
31,1.7389521598815918,0.40675997734069824,0.4016999900341034,,,0.18237656354904175
32,1.7338165044784546,0.4088999927043915,0.4016999900341034,,,0.17779041826725006
33,1.7288020849227905,0.41019999980926514,0.4027999937534332,,,0.17777422070503235
34,1.7238454818725586,0.4122999906539917,0.40619999170303345,,,0.1774555891752243
35,1.7189584970474243,0.4142199754714966,0.40709999203681946,22.428930282592773,269090.90625,0.17387519776821136
36,1.7141461372375488,0.4159599840641022,0.40849998593330383,,,0.17083825170993805
37,1.7094208002090454,0.417279988527298,0.40959998965263367,,,0.16781869530677795
38,1.7048466205596924,0.41885998845100403,0.41099998354911804,,,0.16179034113883972
39,1.7004190683364868,0.420879989862442,0.4113999903202057,,,0.1584978550672531
40,1.6960200071334839,0.4231399893760681,0.4115999937057495,26.032135009765625,318889.625,0.16130059957504272
41,1.6916029453277588,0.42405998706817627,0.4131999909877777,,,0.1617293655872345
42,1.6872316598892212,0.4257799983024597,0.4147999882698059,,,0.15734146535396576
43,1.6829575300216675,0.42697998881340027,0.4147999882698059,,,0.15382219851016998
44,1.6787960529327393,0.4283199906349182,0.4178999960422516,,,0.1517830193042755
45,1.6747183799743652,0.4291599988937378,0.42069998383522034,29.847496032714844,365055.0,0.15106609463691711
46,1.6706780195236206,0.4305199980735779,0.42069998383522034,,,0.15191397070884705
47,1.666678786277771,0.431659996509552,0.42239999771118164,,,0.1502373218536377
48,1.6627508401870728,0.4326799809932709,0.421099990606308,,,0.14735475182533264
49,1.6588878631591797,0.43421998620033264,0.42239999771118164,,,0.14637063443660736
