step,train_loss,train_acc,test_acc,lambda_H,lambda_A,grad_norm
0,2.1594269275665283,0.24269999563694,0.23149999976158142,10.877471923828125,877799.875,1.6242934465408325
1,2.0410847663879395,0.2695399820804596,0.2692999839782715,,,0.9106689691543579
2,1.9866241216659546,0.2918199896812439,0.29019999504089355,,,0.6817110180854797
3,1.933764100074768,0.32148000597953796,0.3181000053882599,,,0.6607794165611267
4,1.9274653196334839,0.33431997895240784,0.3333999812602997,,,0.6079849600791931
5,1.8798494338989258,0.35235998034477234,0.3498999774456024,9.14380931854248,103027.84375,0.7117083072662354
6,1.838351845741272,0.36559998989105225,0.36159998178482056,,,0.607573390007019
7,1.8152868747711182,0.37695997953414917,0.3718000054359436,,,0.29073432087898254
8,1.793163537979126,0.3843799829483032,0.38099998235702515,,,0.26162710785865784
9,1.7749415636062622,0.3884199857711792,0.3806999921798706,,,0.24434088170528412
10,1.782468557357788,0.3857399821281433,0.3815999925136566,9.985584259033203,120332.171875,0.334060400724411
11,1.8056156635284424,0.36997997760772705,0.3610000014305115,,,0.7430747151374817
12,1.7585930824279785,0.388839989900589,0.3877999782562256,,,1.087274193763733
13,1.7596625089645386,0.39640000462532043,0.3921999931335449,,,0.6510142087936401
14,1.7508556842803955,0.3986999988555908,0.3926999866962433,,,0.7985352277755737
15,1.719112515449524,0.41193997859954834,0.40119999647140503,10.203850746154785,90275.7578125,0.7739602327346802
16,1.6931495666503906,0.42207998037338257,0.4129999876022339,,,0.5367729663848877
17,1.6854074001312256,0.42353999614715576,0.4108999967575073,,,0.2312900722026825
18,1.6722439527511597,0.4295800030231476,0.4147999882698059,,,0.36581599712371826
19,1.6603587865829468,0.4328399896621704,0.4193999767303467,,,0.3587551712989807
20,1.6493772268295288,0.4360799789428711,0.41929998993873596,13.406938552856445,99102.921875,0.3329824209213257
21,1.6381646394729614,0.4405999779701233,0.42579999566078186,,,0.3327828645706177
22,1.6327017545700073,0.441540002822876,0.42260000109672546,,,0.3359319269657135
23,1.640010118484497,0.43689998984336853,0.42289999127388,,,0.5058766007423401
24,1.6602859497070312,0.4287799894809723,0.40699997544288635,,,0.8443262577056885
25,1.6578903198242188,0.4336400032043457,0.41749998927116394,14.817184448242188,113863.078125,1.1893773078918457
26,1.649775505065918,0.4341599941253662,0.41999998688697815,,,1.028236985206604
27,1.675275206565857,0.42361998558044434,0.4041999876499176,,,1.1812535524368286
28,1.609570026397705,0.44863998889923096,0.42989999055862427,,,1.3602392673492432
29,1.6096947193145752,0.45013999938964844,0.4296000003814697,,,0.5777716636657715
30,1.5954716205596924,0.45433998107910156,0.429999977350235,12.45989990234375,86113.1171875,0.6758808493614197
31,1.5860856771469116,0.4569999873638153,0.4311999976634979,,,0.5741182565689087
32,1.5688332319259644,0.46747997403144836,0.4438000023365021,,,0.5208725333213806
33,1.5615299940109253,0.4676799774169922,0.44339999556541443,,,0.30704647302627563
34,1.5535248517990112,0.4702000021934509,0.4415999948978424,,,0.30640262365341187
35,1.547897458076477,0.4717399775981903,0.4449999928474426,18.208271026611328,100238.078125,0.3109845817089081
36,1.5404764413833618,0.4767400026321411,0.444599986076355,,,0.35323789715766907
37,1.5371168851852417,0.4761599898338318,0.4461999833583832,,,0.38487011194229126
38,1.5367871522903442,0.47689998149871826,0.4415999948978424,,,0.4874151647090912
39,1.5531450510025024,0.47200000286102295,0.43639999628067017,,,0.7043569684028625
40,1.5712673664093018,0.4636399745941162,0.43149998784065247,21.108488082885742,111628.953125,1.0650839805603027
41,1.5535792112350464,0.4704799950122833,0.43149998784065247,,,1.3406533002853394
42,1.5715004205703735,0.4609399735927582,0.4276999831199646,,,1.247708797454834
43,1.5488306283950806,0.4672999978065491,0.43359997868537903,,,1.28757643699646
44,1.5204468965530396,0.4827599823474884,0.4432999789714813,,,1.0819454193115234
45,1.5248123407363892,0.4775799810886383,0.44179999828338623,18.325761795043945,73755.671875,0.7701492309570312
46,1.5029703378677368,0.491379976272583,0.4502999782562256,,,0.8652688264846802
47,1.501943588256836,0.48909997940063477,0.45009997487068176,,,0.633580207824707
48,1.4877245426177979,0.49667999148368835,0.4551999866962433,,,0.6574687361717224
49,1.4786527156829834,0.499099999666214,0.45409998297691345,,,0.47584643959999084
50,1.473035454750061,0.5009999871253967,0.45669999718666077,22.998092651367188,87103.3359375,0.3246747851371765
51,1.4658288955688477,0.5037999749183655,0.4569999873638153,,,0.3086167573928833
52,1.4603806734085083,0.5055199861526489,0.45799997448921204,,,0.19895076751708984
53,1.4553037881851196,0.5078799724578857,0.45739999413490295,,,0.19291040301322937
54,1.449623942375183,0.509880006313324,0.4583999812602997,,,0.21862763166427612
55,1.444193720817566,0.5122199654579163,0.45819997787475586,27.102508544921875,103097.0078125,0.19008766114711761
56,1.4395028352737427,0.5134999752044678,0.45879998803138733,,,0.1829090267419815
57,1.4365837574005127,0.5144999623298645,0.46149998903274536,,,0.24537821114063263
58,1.441136360168457,0.5127599835395813,0.45909997820854187,,,0.415644109249115
59,1.4722641706466675,0.5006799697875977,0.4478999972343445,,,0.7923041582107544
60,1.5540807247161865,0.4763599932193756,0.42639997601509094,30.511384963989258,120741.71875,1.6050140857696533
61,1.509131669998169,0.48865997791290283,0.43959999084472656,,,2.2947447299957275
62,1.494368314743042,0.48951998353004456,0.44039997458457947,,,1.8158880472183228
63,1.4885722398757935,0.4917599856853485,0.43549999594688416,,,1.7380344867706299
64,1.4525783061981201,0.5079599618911743,0.4512999951839447,,,1.5389894247055054
65,1.45704185962677,0.5091999769210815,0.4488999843597412,25.2579288482666,107943.90625,0.9786773324012756
66,1.454291582107544,0.5047199726104736,0.45239999890327454,,,1.2593601942062378
67,1.4323352575302124,0.5155400037765503,0.45319998264312744,,,1.195901870727539
68,1.4215620756149292,0.5209000110626221,0.45669999718666077,,,1.0316933393478394
69,1.4049378633499146,0.526919960975647,0.46459999680519104,,,0.8143457770347595
70,1.3970013856887817,0.5315200090408325,0.4652999937534332,28.56488609313965,89692.15625,0.5163095593452454
71,1.3921517133712769,0.5333399772644043,0.4632999897003174,,,0.33787408471107483
72,1.3876519203186035,0.5333200097084045,0.4649999737739563,,,0.39848315715789795
73,1.3826173543930054,0.5360400080680847,0.4640999734401703,,,0.42423227429389954
74,1.3779408931732178,0.5368799567222595,0.4657000005245209,,,0.4052084982395172
75,1.3761144876480103,0.5378999710083008,0.46309998631477356,30.851579666137695,104781.25,0.4373273551464081
76,1.3787791728973389,0.5340200066566467,0.46469998359680176,,,0.5681902766227722
77,1.395032525062561,0.5267400145530701,0.4551999866962433,,,0.834561288356781
78,1.4149106740951538,0.5189399719238281,0.45409998297691345,,,1.2824259996414185
79,1.3918555974960327,0.527459979057312,0.4560000002384186,,,1.5878418684005737
80,1.3599400520324707,0.5418199896812439,0.46629998087882996,35.26839828491211,88542.3046875,1.2362648248672485
81,1.3604907989501953,0.5413199663162231,0.4632999897003174,,,0.5571488738059998
82,1.3584411144256592,0.5425999760627747,0.4641999900341034,,,0.7050533294677734
83,1.3567496538162231,0.5451799631118774,0.4642999768257141,,,0.8290249109268188
84,1.3598945140838623,0.5432000160217285,0.4593999981880188,,,0.917395830154419
85,1.3721450567245483,0.5401600003242493,0.45979997515678406,37.32707595825195,98527.890625,1.2376400232315063
86,1.3488086462020874,0.5451200008392334,0.46459999680519104,,,1.3545489311218262
87,1.3370438814163208,0.5526999831199646,0.4648999869823456,,,1.0291154384613037
88,1.332757830619812,0.5523599982261658,0.46789997816085815,,,0.6985363960266113
89,1.3311668634414673,0.5554800033569336,0.46389999985694885,,,0.6673577427864075
90,1.3319549560546875,0.5523799657821655,0.4699999988079071,42.503421783447266,108865.53125,0.8105205297470093
91,1.3360389471054077,0.5498999953269958,0.45829999446868896,,,0.9924343824386597
92,1.3457120656967163,0.5451399683952332,0.46230000257492065,,,1.2499291896820068
93,1.3571972846984863,0.5419999957084656,0.4554999768733978,,,1.6247305870056152
94,1.3316165208816528,0.5515999794006348,0.461899995803833,,,1.7160272598266602
95,1.3266505002975464,0.5530999898910522,0.46459999680519104,37.270877838134766,86804.78125,1.3748098611831665
96,1.3174279928207397,0.5557999610900879,0.46140000224113464,,,1.1428358554840088
97,1.3089361190795898,0.5611799955368042,0.46879997849464417,,,1.1096640825271606
98,1.2960668802261353,0.5683199763298035,0.46889999508857727,,,0.8979616165161133
99,1.2943872213363647,0.5675399899482727,0.4664999842643738,,,0.5937773585319519
100,1.2974313497543335,0.5654799938201904,0.4728999733924866,44.04925537109375,99661.921875,0.7390817999839783
101,1.2983161211013794,0.5655199885368347,0.461899995803833,,,0.9717823266983032
102,1.3223836421966553,0.5567399859428406,0.460999995470047,,,1.2553082704544067
103,1.3440672159194946,0.545199990272522,0.4553000032901764,,,1.7312872409820557
104,1.3330614566802979,0.5532199740409851,0.4544000029563904,,,2.1380298137664795
105,1.2946707010269165,0.5637999773025513,0.46639999747276306,48.74093246459961,113068.296875,1.7688720226287842
