model_id,model_type,activation_function,optimizer,criterion,learning_rate,beta1,beta2,num_epochs,time_minutes,learning_rate_adam
1,MLP4,relu,Muon,MSELoss,0.0001,0.95,,500,0.32,0.0001
2,MLP4,relu,Muon,MSELoss,0.0002,0.95,,500,0.22,0.0001
3,MLP4,relu,Muon,MSELoss,0.0003,0.95,,500,0.26,0.0001
4,MLP4,relu,Muon,MSELoss,0.0004,0.95,,500,0.23,0.0001
5,MLP4,relu,Muon,MSELoss,0.0005,0.95,,500,0.24,0.0001
6,MLP4,relu,Muon,MSELoss,0.0006,0.95,,500,0.24,0.0001
7,MLP4,relu,Muon,MSELoss,0.0007,0.95,,500,0.28,0.0001
8,MLP4,relu,Muon,MSELoss,0.0008,0.95,,500,0.26,0.0001
9,MLP4,relu,Muon,MSELoss,0.0009,0.95,,500,0.27,0.0001
10,MLP4,relu,Muon,MSELoss,0.001,0.95,,500,0.25,0.0001
11,MLP4,relu,Muon,MSELoss,0.0011,0.95,,500,0.26,0.0001
12,MLP4,relu,Muon,MSELoss,0.0012,0.95,,500,0.26,0.0001
13,MLP4,relu,Muon,MSELoss,0.0013,0.95,,500,0.27,0.0001
14,MLP4,relu,Muon,MSELoss,0.0014,0.95,,500,0.24,0.0001
15,MLP4,relu,Muon,MSELoss,0.0015,0.95,,500,0.27,0.0001
16,MLP4,relu,Muon,MSELoss,0.0016,0.95,,500,0.28,0.0001
17,MLP4,relu,Muon,MSELoss,0.0017,0.95,,500,0.25,0.0001
18,MLP4,relu,Muon,MSELoss,0.0018,0.95,,500,0.26,0.0001
19,MLP4,relu,Muon,MSELoss,0.0019,0.95,,500,0.26,0.0001
20,MLP4,relu,Muon,MSELoss,0.002,0.95,,500,0.26,0.0001
21,MLP4,relu,Muon,MSELoss,0.0021,0.95,,500,0.28,0.0001
22,MLP4,relu,Muon,MSELoss,0.0022,0.95,,500,0.26,0.0001
23,MLP4,relu,Muon,MSELoss,0.0023,0.95,,500,0.27,0.0001
24,MLP4,relu,Muon,MSELoss,0.0024,0.95,,500,0.27,0.0001
25,MLP4,relu,Muon,MSELoss,0.0025,0.95,,500,0.29,0.0001
26,MLP4,relu,Muon,MSELoss,0.0026,0.95,,500,0.27,0.0001
27,MLP4,relu,Muon,MSELoss,0.0027,0.95,,500,0.26,0.0001
28,MLP4,relu,Muon,MSELoss,0.0028,0.95,,500,0.28,0.0001
29,MLP4,relu,Muon,MSELoss,0.0029,0.95,,500,0.27,0.0001
30,MLP4,relu,Muon,MSELoss,0.003,0.95,,500,0.27,0.0001
31,MLP4,relu,Muon,MSELoss,0.0031,0.95,,500,0.26,0.0001
32,MLP4,relu,Muon,MSELoss,0.0032,0.95,,500,0.27,0.0001
33,MLP4,relu,Muon,MSELoss,0.0033,0.95,,500,0.27,0.0001
34,MLP4,relu,Muon,MSELoss,0.0034,0.95,,500,0.24,0.0001
35,MLP4,relu,Muon,MSELoss,0.0035,0.95,,500,0.26,0.0001
36,MLP4,relu,Muon,MSELoss,0.0036,0.95,,500,0.28,0.0001
37,MLP4,relu,Muon,MSELoss,0.0037,0.95,,500,0.28,0.0001
38,MLP4,relu,Muon,MSELoss,0.0038,0.95,,500,0.31,0.0001
39,MLP4,relu,Muon,MSELoss,0.0039,0.95,,500,0.28,0.0001
40,MLP4,relu,Muon,MSELoss,0.004,0.95,,500,0.26,0.0001
41,MLP4,relu,Muon,MSELoss,0.0041,0.95,,500,0.28,0.0001
42,MLP4,relu,Muon,MSELoss,0.0042,0.95,,500,0.26,0.0001
43,MLP4,relu,Muon,MSELoss,0.0043,0.95,,500,0.26,0.0001
44,MLP4,relu,Muon,MSELoss,0.0044,0.95,,500,0.28,0.0001
45,MLP4,relu,Muon,MSELoss,0.0045,0.95,,500,0.28,0.0001
46,MLP4,relu,Muon,MSELoss,0.0046,0.95,,500,0.29,0.0001
47,MLP4,relu,Muon,MSELoss,0.0047,0.95,,500,0.28,0.0001
48,MLP4,relu,Muon,MSELoss,0.0048,0.95,,500,0.29,0.0001
49,MLP4,relu,Muon,MSELoss,0.0049,0.95,,500,0.28,0.0001
50,MLP4,relu,Muon,MSELoss,0.005,0.95,,500,0.28,0.0001
51,MLP4,relu,Muon,MSELoss,0.0051,0.95,,500,0.28,0.0001
52,MLP4,relu,Muon,MSELoss,0.0052,0.95,,500,0.28,0.0001
53,MLP4,relu,Muon,MSELoss,0.0053,0.95,,500,0.3,0.0001
54,MLP4,relu,Muon,MSELoss,0.0054,0.95,,500,0.27,0.0001
55,MLP4,relu,Muon,MSELoss,0.0055,0.95,,500,0.27,0.0001
56,MLP4,relu,Muon,MSELoss,0.0056,0.95,,500,0.28,0.0001
57,MLP4,relu,Muon,MSELoss,0.0057,0.95,,500,0.27,0.0001
58,MLP4,relu,Muon,MSELoss,0.0058,0.95,,500,0.27,0.0001
59,MLP4,relu,Muon,MSELoss,0.0059,0.95,,500,0.27,0.0001
60,MLP4,relu,Muon,MSELoss,0.006,0.95,,500,0.27,0.0001
61,MLP4,relu,Muon,MSELoss,0.0061,0.95,,500,0.28,0.0001
62,MLP4,relu,Muon,MSELoss,0.0062,0.95,,500,0.27,0.0001
63,MLP4,relu,Muon,MSELoss,0.0063,0.95,,500,0.25,0.0001
64,MLP4,relu,Muon,MSELoss,0.0064,0.95,,500,0.28,0.0001
65,MLP4,relu,Muon,MSELoss,0.0065,0.95,,500,0.28,0.0001
66,MLP4,relu,Muon,MSELoss,0.0066,0.95,,500,0.27,0.0001
67,MLP4,relu,Muon,MSELoss,0.0067,0.95,,500,0.27,0.0001
68,MLP4,relu,Muon,MSELoss,0.0068,0.95,,500,0.28,0.0001
69,MLP4,relu,Muon,MSELoss,0.0069,0.95,,500,0.25,0.0001
70,MLP4,relu,Muon,MSELoss,0.007,0.95,,500,0.28,0.0001
71,MLP4,relu,Muon,MSELoss,0.0071,0.95,,500,0.26,0.0001
72,MLP4,relu,Muon,MSELoss,0.0072,0.95,,500,0.27,0.0001
73,MLP4,relu,Muon,MSELoss,0.0073,0.95,,500,0.26,0.0001
74,MLP4,relu,Muon,MSELoss,0.0074,0.95,,500,0.27,0.0001
75,MLP4,relu,Muon,MSELoss,0.0075,0.95,,500,0.26,0.0001
76,MLP4,relu,Muon,MSELoss,0.0076,0.95,,500,0.27,0.0001
77,MLP4,relu,Muon,MSELoss,0.0077,0.95,,500,0.27,0.0001
78,MLP4,relu,Muon,MSELoss,0.0078,0.95,,500,0.28,0.0001
79,MLP4,relu,Muon,MSELoss,0.0079,0.95,,500,0.27,0.0001
80,MLP4,relu,Muon,MSELoss,0.008,0.95,,500,0.28,0.0001
81,MLP4,relu,Muon,MSELoss,0.0081,0.95,,500,0.28,0.0001
82,MLP4,relu,Muon,MSELoss,0.0082,0.95,,500,0.28,0.0001
83,MLP4,relu,Muon,MSELoss,0.0083,0.95,,500,0.28,0.0001
84,MLP4,relu,Muon,MSELoss,0.0084,0.95,,500,0.28,0.0001
85,MLP4,relu,Muon,MSELoss,0.0085,0.95,,500,0.28,0.0001
86,MLP4,relu,Muon,MSELoss,0.0086,0.95,,500,0.28,0.0001
87,MLP4,relu,Muon,MSELoss,0.0087,0.95,,500,0.27,0.0001
88,MLP4,relu,Muon,MSELoss,0.0088,0.95,,500,0.29,0.0001
