model_id,model_type,activation_function,optimizer,criterion,learning_rate,beta1,beta2,num_epochs,time_minutes
1,FullyConnectedNet,Tanh,SGD,MSELoss,0.05,,,541,2.21
2,FullyConnectedNet,Tanh,SGD,MSELoss,0.05,,,541,2.22
3,FullyConnectedNet,Tanh,SGD,MSELoss,0.004,,,1000,3.6
4,FullyConnectedNet,Tanh,SGD,MSELoss,0.008,,,1000,3.51
5,FullyConnectedNet,Tanh,SGD,MSELoss,0.02,,,1000,3.34
6,FullyConnectedNet,Tanh,SGD,MSELoss,0.04,,,1000,4.17
7,FullyConnectedNet,Tanh,SGD,MSELoss,0.08,,,1000,4.04
8,FullyConnectedNet,Tanh,SGD,MSELoss,0.1,,,1000,4.06
9,FullyConnectedNet,Tanh,SGD,MSELoss,0.2,,,1000,4.11
10,FullyConnectedNet,Tanh,SGD,MSELoss,0.4,,,1000,4.07
11,FullyConnectedNet,Tanh,SGD,MSELoss,0.05,,,1000,22.29
12,FullyConnectedNet,Tanh,SGD,MSELoss,0.05,,,1000,11.98
13,FullyConnectedNet,Tanh,SGD,MSELoss,0.05,,,1000,7.05
14,FullyConnectedNet,Tanh,SGD,MSELoss,0.05,,,1000,4.05
15,FullyConnectedNet,Tanh,SGD,MSELoss,0.05,,,1000,2.46
